0,1,2,3,4
08/05/2024,CARD PAYMENT TO Medi Food,,£ 2.77,"£ -1,379.89"
,Centre ON 07-05-2024,,,
08/05/2024,"TINTICO (VIA APPLE PAY), ON",,£ 3.70,"£ -1,377.12"
,07-05-2024,,,
07/05/2024,"THE JOINERS (VIA APPLE PAY),",,£ 12.60,"£ -1,373.42"
,ON 06-05-2024,,,
07/05/2024,GOKYUZU RESTAURANT (VIA,,£ 14.00,"£ -1,360.82"
,"APPLE PAY), ON 06-05-2024",,,
07/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 5.40,"£ -1,346.82"
,"PAY), ON 06-05-2024",,,
07/05/2024,WILTON PATISSERIE (VIA APPLE,,£ 8.70,"£ -1,341.42"
,"PAY), ON 06-05-2024",,,
06/05/2024,BILL PAYMENT FROM MR MEHMET,£ 50.00,,"£ -1,332.72"
,"SOYLEMEZ, REFERENCE FREIND",,,
06/05/2024,BILL PAYMENT VIA FASTER,,£ 17.50,"£ -1,382.72"
,PAYMENT TO serdar tekin,,,
,"REFERENCE food , MANDATE NO",,,
,54,,,
06/05/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 3.37,"£ -1,365.22"
,"PAY), ON 06-05-2024",,,
06/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 4.95,"£ -1,361.85"
,ON 05-05-2024,,,
06/05/2024,"TESCO STORES (VIA APPLE PAY),",,£ 1.45,"£ -1,356.90"
,ON 05-05-2024,,,
05/05/2024,CARD PAYMENT TO CHATGPT,,£ 19.20,"£ -1,355.45"
Date,Description,Money In,Money Out,Balance
05/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 17.19,"£ -1,336.25"
,"PAY), ON 04-05-2024",,,
05/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 3.06,"£ -1,319.06"
,"PAY), ON 04-05-2024",,,
05/05/2024,"BESPOKE CAFE (VIA APPLE PAY),",,£ 5.75,"£ -1,316.00"
,ON 04-05-2024,,,
04/05/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 3.29,"£ -1,310.25"
,"PAY), ON 04-05-2024",,,
04/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,306.96"
,ON 03-05-2024,,,
04/05/2024,CASH WITHDRAWAL AT,,£ 40.00,"£ -1,300.56"
,SANTANDER ATM FINCHLEY 50,,,
,"BL, FINCHLEY,40.00 GBP , ON",,,
,04-05-2024,,,
04/05/2024,"GREGGS (VIA APPLE PAY), ON",,£ 3.45,"£ -1,260.56"
,03-05-2024,,,
04/05/2024,CARD PAYMENT TO CREDIT,,£ 19.95,"£ -1,257.11"
,REPORTS MATTER ON 03-05-2024,,,
03/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,237.16"
,ON 02-05-2024,,,
03/05/2024,"APPLE.COM/BILL (VIA APPLE PAY),",,£ 10.99,"£ -1,230.76"
,ON 03-05-2024,,,
03/05/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 6.29,"£ -1,219.77"
,"PAY), ON 01-05-2024",,,
03/05/2024,CARD PAYMENT TO LOWELL,,£ 8.24,"£ -1,213.48"
,PORTFOLIO 1 ON 02-05-2024,,,
03/05/2024,CARD PAYMENT TO LOWELL,,£ 5.88,"£ -1,205.24"
Date,Description,Money In,Money Out,Balance
03/05/2024,CARD PAYMENT TO LOWELL,,£ 35.88,"£ -1,199.36"
,PORTFOLIO 1 ON 02-05-2024,,,
03/05/2024,CARD PAYMENT TO Netflix.com ON,,£ 4.99,"£ -1,163.48"
,02-05-2024,,,
02/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 7.80,"£ -1,158.49"
,ON 01-05-2024,,,
02/05/2024,"PIZZA EXPRESS (VIA APPLE PAY),",,£ 47.05,"£ -1,150.69"
,ON 01-05-2024,,,
02/05/2024,ORGANIC HEALTH (VIA APPLE,,£ 61.00,"£ -1,103.64"
,"PAY), ON 01-05-2024",,,
02/05/2024,COACH AND HORSES (VIA APPLE,,£ 14.50,"£ -1,042.64"
,"PAY), ON 01-05-2024",,,
02/05/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 6.29,"£ -1,028.14"
,"PAY), ON 30-04-2024",,,
02/05/2024,"TESCO STORES (VIA APPLE PAY),",,£ 6.80,"£ -1,021.85"
,ON 01-05-2024,,,
02/05/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 4.15,"£ -1,015.05"
,ON 01-05-2024,,,
02/05/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 2.15,"£ -1,010.90"
,ON 01-05-2024,,,
01/05/2024,BILL PAYMENT VIA FASTER,,£ 110.00,"£ -1,008.75"
,PAYMENT TO Chun Huang,,,
,"REFERENCE service , MANDATE",,,
,NO 53,,,
01/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,£ -898.75
,ON 30-04-2024,,,
01/05/2024,GAILS - SOUTH KENSINGT (VIA,,£ 6.80,£ -892.35
Date,Description,Money In,Money Out,Balance
01/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 0.35,£ -885.55
,"PAY), ON 30-04-2024",,,
30/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,£ -885.20
,ON 29-04-2024,,,
30/04/2024,"H & M (VIA APPLE PAY), ON",,£ 12.99,£ -881.70
,29-04-2024,,,
30/04/2024,"H & M (VIA APPLE PAY), ON",,£ 22.18,£ -868.71
,29-04-2024,,,
30/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 19.35,£ -846.53
,"PAY), ON 29-04-2024",,,
30/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 6.70,£ -827.18
,"PAY), ON 29-04-2024",,,
30/04/2024,FASTER PAYMENTS RECEIPT,£ 552.00,,£ -820.48
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
30/04/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 4.35,"£ -1,372.48"
,ON 29-04-2024,,,
29/04/2024,FASTER PAYMENTS RECEIPT,£ 115.00,,"£ -1,368.13"
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
29/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 7.65,"£ -1,483.13"
,ON 28-04-2024,,,
29/04/2024,"TESCO STORES (VIA APPLE PAY),",,£ 1.03,"£ -1,475.48"
,ON 28-04-2024,,,
28/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,474.45"
,ON 27-04-2024,,,
28/04/2024,FASTER PAYMENTS RECEIPT,£ 20.00,,"£ -1,468.05"
Date,Description,Money In,Money Out,Balance
28/04/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 12.08,"£ -1,488.05"
,"PAY), ON 26-04-2024",,,
28/04/2024,UNCLE TONYS TAVERNA (VIA,,£ 16.00,"£ -1,475.97"
,"APPLE PAY), ON 27-04-2024",,,
27/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 5.40,"£ -1,459.97"
,ON 26-04-2024,,,
27/04/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 2.29,"£ -1,454.57"
,"PAY), ON 26-04-2024",,,
27/04/2024,MARKS&SPENCER PLC SACA (VIA,,£ 45.10,"£ -1,452.28"
,"APPLE PAY), ON 26-04-2024",,,
27/04/2024,SUPERDRUG STORES PLC (VIA,,£ 3.49,"£ -1,407.18"
,"APPLE PAY), ON 26-04-2024",,,
27/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 2.50,"£ -1,403.69"
,"PAY), ON 26-04-2024",,,
27/04/2024,ARRANGED OVERDRAFT,,£ 13.49,"£ -1,401.19"
,INTEREST,,,
27/04/2024,HASTY TASTY PIZZA (VIA APPLE,,£ 3.50,"£ -1,387.70"
,"PAY), ON 26-04-2024",,,
26/04/2024,"BESPOKE CAFE (VIA APPLE PAY),",,£ 3.70,"£ -1,384.20"
,ON 26-04-2024,,,
26/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 8.80,"£ -1,380.50"
,ON 25-04-2024,,,
26/04/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 4.79,"£ -1,371.70"
,"PAY), ON 25-04-2024",,,
26/04/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 12.08,"£ -1,366.91"
,"PAY), ON 24-04-2024",,,
26/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 33.30,"£ -1,354.83"
Date,Description,Money In,Money Out,Balance
25/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 7.55,"£ -1,321.53"
,"PAY), ON 24-04-2024",,,
24/04/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 5.20,"£ -1,313.98"
,ON 24-04-2024,,,
24/04/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 2.88,"£ -1,308.78"
,"PAY), ON 24-04-2024",,,
24/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,305.90"
,ON 23-04-2024,,,
24/04/2024,BILL PAYMENT VIA FASTER,,£ 50.00,"£ -1,299.50"
,PAYMENT TO MAGDALENA MICKIE,,,
,REFERENCE SORRY FOR THE,,,
,"DE , MANDATE N",,,
24/04/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 12.08,"£ -1,249.50"
,"PAY), ON 22-04-2024",,,
24/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 4.50,"£ -1,237.42"
,"PAY), ON 23-04-2024",,,
23/04/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 4.35,"£ -1,232.92"
,ON 23-04-2024,,,
23/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,228.57"
,ON 22-04-2024,,,
23/04/2024,GAILS - SOUTH KENSINGT (VIA,,£ 6.30,"£ -1,222.17"
,"APPLE PAY), ON 22-04-2024",,,
23/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 15.93,"£ -1,215.87"
,"PAY), ON 22-04-2024",,,
22/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,199.94"
,ON 21-04-2024,,,
22/04/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 12.08,"£ -1,193.54"
Date,Description,Money In,Money Out,Balance
22/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 1.30,"£ -1,181.46"
,"PAY), ON 21-04-2024",,,
22/04/2024,UNCLE TONYS TAVERNA (VIA,,£ 38.00,"£ -1,180.16"
,"APPLE PAY), ON 21-04-2024",,,
21/04/2024,"TINTICO (VIA APPLE PAY), ON",,£ 3.50,"£ -1,142.16"
,20-04-2024,,,
21/04/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 3.17,"£ -1,138.66"
,"PAY), ON 20-04-2024",,,
21/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 1.95,"£ -1,135.49"
,"PAY), ON 20-04-2024",,,
21/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 5.95,"£ -1,133.54"
,"PAY), ON 20-04-2024",,,
21/04/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 4.35,"£ -1,127.59"
,ON 20-04-2024,,,
20/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,123.24"
,ON 19-04-2024,,,
20/04/2024,"FINLAYS (VIA APPLE PAY), ON",,£ 2.64,"£ -1,116.84"
,19-04-2024,,,
20/04/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 12.08,"£ -1,114.20"
,"PAY), ON 18-04-2024",,,
19/04/2024,SQ *PHILIPPE CONTICINI (VIA,,£ 3.50,"£ -1,102.12"
,"APPLE PAY), ON 19-04-2024",,,
19/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 0.30,"£ -1,098.62"
,"PAY), ON 18-04-2024",,,
19/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 6.30,"£ -1,098.32"
,"PAY), ON 18-04-2024",,,
19/04/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 8.25,"£ -1,092.02"
Date,Description,Money In,Money Out,Balance
18/04/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 8.67,"£ -1,083.77"
,"PAY), ON 18-04-2024",,,
18/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 9.90,"£ -1,075.10"
,ON 17-04-2024,,,
18/04/2024,MARKS&SPENCER PLC SACA (VIA,,£ 26.10,"£ -1,065.20"
,"APPLE PAY), ON 17-04-2024",,,
18/04/2024,BBS BAKERS AND BARISTA (VIA,,£ 9.25,"£ -1,039.10"
,"APPLE PAY), ON 17-04-2024",,,
18/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 3.40,"£ -1,029.85"
,"PAY), ON 17-04-2024",,,
17/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,026.45"
,ON 16-04-2024,,,
17/04/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 12.08,"£ -1,020.05"
,"PAY), ON 15-04-2024",,,
17/04/2024,FIVE GUYS SOUTH KENSIN (VIA,,£ 11.75,"£ -1,007.97"
,"APPLE PAY), ON 16-04-2024",,,
16/04/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 4.35,£ -996.22
,ON 16-04-2024,,,
16/04/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 4.25,£ -991.87
,"PAY), ON 15-04-2024",,,
16/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 13.90,£ -987.62
,"PAY), ON 15-04-2024",,,
16/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 0.30,£ -973.72
,"PAY), ON 15-04-2024",,,
16/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 10.25,£ -973.42
,"PAY), ON 15-04-2024",,,
16/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 33.00,£ -963.17
Date,Description,Money In,Money Out,Balance
15/04/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 6.50,£ -930.17
,ON 15-04-2024,,,
15/04/2024,"PEPE'S PIRI PIRI (VIA APPLE PAY),",,£ 11.09,£ -923.67
,ON 15-04-2024,,,
15/04/2024,GAILS SOUTH WOODFORD (VIA,,£ 5.00,£ -912.58
,"APPLE PAY), ON 14-04-2024",,,
15/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 5.25,£ -907.58
,ON 14-04-2024,,,
15/04/2024,GRAND ISTANBUL MARKET (VIA,,£ 9.24,£ -902.33
,"APPLE PAY), ON 14-04-2024",,,
15/04/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 7.79,£ -893.09
,"PAY), ON 14-04-2024",,,
15/04/2024,TESCO STORES 6611 (VIA APPLE,,£ 1.10,£ -885.30
,"PAY), ON 14-04-2024",,,
14/04/2024,FASTER PAYMENTS RECEIPT,£ 605.00,,£ -884.20
,REF.Dere ltd FROM DERE LIMITED,,,
14/04/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 3.79,"£ -1,489.20"
,"PAY), ON 14-04-2024",,,
14/04/2024,TESCO STORES 6611 (VIA APPLE,,£ 4.15,"£ -1,485.41"
,"PAY), ON 13-04-2024",,,
13/04/2024,CARD PAYMENT TO TESCO,,£ 5.00,"£ -1,481.26"
,STORES 6611 ON 12-04-2024,,,
13/04/2024,CARD PAYMENT TO TFL TRAVEL,,£ 1.75,"£ -1,476.26"
,CH ON 12-04-2024,,,
13/04/2024,CARD PAYMENT TO THREE ON,,£ 20.00,"£ -1,474.51"
,12-04-2024,,,
13/04/2024,CARD PAYMENT TO THREE ON,,£ 20.00,"£ -1,454.51"
Date,Description,Money In,Money Out,Balance
12/04/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 2.88,"£ -1,434.51"
,"PAY), ON 12-04-2024",,,
11/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 7.60,"£ -1,431.63"
,ON 10-04-2024,,,
11/04/2024,CARD PAYMENT TO AMAZON*,,£ 28.98,"£ -1,424.03"
,204-5920978-00 ON 11-04-2024,,,
11/04/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 3.67,"£ -1,395.05"
,"PAY), ON 10-04-2024",,,
11/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 19.85,"£ -1,391.38"
,"PAY), ON 10-04-2024",,,
11/04/2024,TESCO STORES 2544 (VIA APPLE,,£ 5.70,"£ -1,371.53"
,"PAY), ON 10-04-2024",,,
10/04/2024,SQ *CAFE DE NATA - SOU (VIA,,£ 3.45,"£ -1,365.83"
,"APPLE PAY), ON 10-04-2024",,,
10/04/2024,CASH PAID IN AT ATM FINCHLEY,£ 145.00,,"£ -1,362.38"
,"50 BL ,FINCHLEY",,,
05/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 1.75,"£ -1,507.38"
,ON 04-04-2024,,,
04/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.20,"£ -1,505.63"
,ON 03-04-2024,,,
03/04/2024,"ALDI 776-048 (VIA APPLE PAY), ON",,£ 2.19,"£ -1,502.43"
,02-04-2024,,,
03/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,500.24"
,ON 02-04-2024,,,
03/04/2024,TESCO STORES 6611 (VIA APPLE,,£ 1.10,"£ -1,496.74"
,"PAY), ON 02-04-2024",,,
03/04/2024,ALLENS PHARMACY (VIA APPLE,,£ 4.25,"£ -1,495.64"
Date,Description,Money In,Money Out,Balance
02/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,491.39"
,ON 01-04-2024,,,
02/04/2024,TESCO STORES 6611 (VIA APPLE,,£ 1.10,"£ -1,487.89"
,"PAY), ON 01-04-2024",,,
01/04/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,486.79"
,ON 31-03-2024,,,
01/04/2024,TESCO STORES 6611 (VIA APPLE,,£ 3.40,"£ -1,483.29"
,"PAY), ON 31-03-2024",,,
31/03/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,479.89"
,ON 30-03-2024,,,
31/03/2024,TESCO STORES 6611 (VIA APPLE,,£ 1.10,"£ -1,476.39"
,"PAY), ON 30-03-2024",,,
30/03/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,475.29"
,ON 29-03-2024,,,
29/03/2024,110 TOTAL DENTISTRY (VIA APPLE,,£ 95.00,"£ -1,471.79"
,"PAY), ON 26-03-2024",,,
29/03/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,376.79"
,ON 28-03-2024,,,
29/03/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 11.28,"£ -1,373.29"
,"PAY), ON 27-03-2024",,,
29/03/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 8.29,"£ -1,362.01"
,"PAY), ON 27-03-2024",,,
29/03/2024,"KFC (VIA APPLE PAY), ON",,£ 8.99,"£ -1,353.72"
,28-03-2024,,,
28/03/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 2.39,"£ -1,344.73"
,"PAY), ON 27-03-2024",,,
28/03/2024,TESCO STORES 2544 (VIA APPLE,,£ 4.15,"£ -1,342.34"
Date,Description,Money In,Money Out,Balance
28/03/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 6.50,"£ -1,338.19"
,ON 27-03-2024,,,
27/03/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,331.69"
,ON 26-03-2024,,,
27/03/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 9.38,"£ -1,328.19"
,"PAY), ON 25-03-2024",,,
27/03/2024,COOTES PHARMACY LTD (VIA,,£ 2.00,"£ -1,318.81"
,"APPLE PAY), ON 26-03-2024",,,
27/03/2024,ARRANGED OVERDRAFT,,£ 10.26,"£ -1,316.81"
,INTEREST,,,
27/03/2024,TESCO STORES 6611 (VIA APPLE,,£ 1.10,"£ -1,306.55"
,"PAY), ON 26-03-2024",,,
27/03/2024,CARD PAYMENT TO NETFLIX.COM,,£ 4.99,"£ -1,305.45"
,ON 26-03-2024,,,
26/03/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,300.46"
,ON 25-03-2024,,,
26/03/2024,ALLENS PHARMACY (VIA APPLE,,£ 4.75,"£ -1,296.96"
,"PAY), ON 25-03-2024",,,
26/03/2024,TESCO STORES 6611 (VIA APPLE,,£ 1.10,"£ -1,292.21"
,"PAY), ON 25-03-2024",,,
25/03/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 2.58,"£ -1,291.11"
,"PAY), ON 25-03-2024",,,
25/03/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 5.25,"£ -1,288.53"
,ON 24-03-2024,,,
25/03/2024,TESCO STORES 6611 (VIA APPLE,,£ 6.30,"£ -1,283.28"
,"PAY), ON 24-03-2024",,,
24/03/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 5.25,"£ -1,276.98"
Date,Description,Money In,Money Out,Balance
24/03/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 8.29,"£ -1,271.73"
,"PAY), ON 22-03-2024",,,
24/03/2024,TESCO STORES 6611 (VIA APPLE,,£ 3.40,"£ -1,263.44"
,"PAY), ON 23-03-2024",,,
24/03/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,260.04"
,ON 22-03-2024,,,
23/03/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 3.29,"£ -1,256.54"
,"PAY), ON 22-03-2024",,,
23/03/2024,TESCO STORES 6611 (VIA APPLE,,£ 1.10,"£ -1,253.25"
,"PAY), ON 22-03-2024",,,
22/03/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,252.15"
,ON 21-03-2024,,,
22/03/2024,TESCO STORES 6611 (VIA APPLE,,£ 1.10,"£ -1,248.65"
,"PAY), ON 21-03-2024",,,
21/03/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 2.37,"£ -1,247.55"
,"PAY), ON 20-03-2024",,,
21/03/2024,DURUM OCAKBASI RESTAUR (VIA,,£ 7.50,"£ -1,245.18"
,"APPLE PAY), ON 20-03-2024",,,
21/03/2024,TESCO STORES 2544 (VIA APPLE,,£ 5.60,"£ -1,237.68"
,"PAY), ON 20-03-2024",,,
21/03/2024,"MR TRIMMER (VIA APPLE PAY),",,£ 30.00,"£ -1,232.08"
,ON 20-03-2024,,,
21/03/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 4.15,"£ -1,202.08"
,ON 20-03-2024,,,
21/03/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 11.70,"£ -1,197.93"
,ON 20-03-2024,,,
20/03/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 1.75,"£ -1,186.23"
Date,Description,Money In,Money Out,Balance
20/03/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 9.28,"£ -1,184.48"
,"PAY), ON 18-03-2024",,,
20/03/2024,TESCO STORES 6611 (VIA APPLE,,£ 1.10,"£ -1,175.20"
,"PAY), ON 19-03-2024",,,
19/03/2024,"APPLE.COM/BILL (VIA APPLE PAY),",,£ 10.99,"£ -1,174.10"
,ON 19-03-2024,,,
19/03/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 1.84,"£ -1,163.11"
,"PAY), ON 18-03-2024",,,
19/03/2024,TESCO STORES 6611 (VIA APPLE,,£ 3.40,"£ -1,161.27"
,"PAY), ON 18-03-2024",,,
17/03/2024,BILL PAYMENT VIA FASTER,,£ 50.00,"£ -1,157.87"
,PAYMENT TO MAGDALENA MICKIE,,,
,"REFERENCE sorry for the de ,",,,
,MANDATE N,,,
17/03/2024,Third party payment made via,,£ 196.13,"£ -1,107.87"
,Faster Payment to CDER Group Ltd,,,
,Reference OB4711493 Santande,,,
17/03/2024,FASTER PAYMENTS RECEIPT,£ 600.00,,£ -911.74
,REF.Gyuler ilieva FROM Salash,,,
,kitchen,,,
19/02/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,511.74"
,ON 18-02-2024,,,
18/02/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,508.24"
,ON 17-02-2024,,,
18/02/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,504.74"
,ON 16-02-2024,,,
16/02/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,501.24"
,ON 15-02-2024,,,
16/02/2024,,,£ 2.30,"£ -1,497.74"
Date,Description,Money In,Money Out,Balance
,"GREGGS (VIA APPLE PAY), ON",,,
,15-02-2024,,,
16/02/2024,"KFC (VIA APPLE PAY), ON",,£ 7.98,"£ -1,495.44"
,15-02-2024,,,
16/02/2024,"BOOTS,SOUTHGATE (VIA APPLE",,£ 4.40,"£ -1,487.46"
,"PAY), ON 15-02-2024",,,
15/02/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,483.06"
,ON 14-02-2024,,,
14/02/2024,"MCDONALDS 31 (VIA APPLE PAY),",,£ 4.28,"£ -1,479.56"
,ON 13-02-2024,,,
14/02/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.50,"£ -1,475.28"
,ON 13-02-2024,,,
14/02/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 3.95,"£ -1,471.78"
,ON 13-02-2024,,,
13/02/2024,DICLE FOOD CENTRE (VIA APPLE,,£ 0.99,"£ -1,467.83"
,"PAY), ON 12-02-2024",,,
13/02/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 7.99,"£ -1,466.84"
,"PAY), ON 11-02-2024",,,
13/02/2024,"STARBUCKS (VIA APPLE PAY), ON",,£ 2.85,"£ -1,458.85"
,12-02-2024,,,
13/02/2024,ZETTLE_*FINCHLEY POKE (VIA,,£ 8.36,"£ -1,456.00"
,"APPLE PAY), ON 12-02-2024",,,
13/02/2024,"COSTA COFFEE (VIA APPLE PAY),",,£ 4.25,"£ -1,447.64"
,ON 12-02-2024,,,
12/02/2024,"TINTICO (VIA APPLE PAY), ON",,£ 4.00,"£ -1,443.39"
,11-02-2024,,,
